Keyword	Avg. monthly searches	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Searches: Mar 2022	Searches: Apr 2022	Searches: May 2022	Searches: Jun 2022	Searches: Jul 2022	Searches: Aug 2022	Searches: Sep 2022	Searches: Oct 2022	Searches: Nov 2022	Searches: Dec 2022	Searches: Jan 2023	Searches: Feb 2023	Searches: Mar 2023	Searches: Apr 2023	Searches: May 2023	Searches: Jun 2023	Searches: Jul 2023	Searches: Aug 2023	Searches: Sep 2023	Searches: Oct 2023	Searches: Nov 2023	Searches: Dec 2023	Searches: Jan 2024	Searches: Feb 2024	Searches: Mar 2024	Searches: Apr 2024	Searches: May 2024	Searches: Jun 2024	Searches: Jul 2024	Searches: Aug 2024	Searches: Sep 2024	Searches: Oct 2024	Searches: Nov 2024	Searches: Dec 2024	Searches: Jan 2025	Searches: Feb 2025	Searches: Mar 2025	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026
complex problem solving	1300	Low	7	0.407915	7.755589	1900	1900	1900	1600	1600	1600	1900	1900	1900	1300	1900	1900	2900	2400	2400	1900	1900	1900	1900	1900	2400	1600	1900	1600	1600	1600	1600	1300	1300	1600	1600	1300	1300	1300	1300	1000	1300	1000	1300	1000	1000	1300	1300	1000	2400	1000	1000	1000
complex problem solving course	10	High	68	1.916689	5.686117	20	30	30	30	30	20	30	30	30	30	30	30	50	50	40	50	20	30	40	30	40	20	30	30	30	30	20	30	20	20	40	20	30	40	20	20	20	20	20	10	20	20	10	10	20	10	10	10
complex systems mit	10	Low	4			10	20	20	10	10	20	10	20	10	20	10	20	10	20	10	10	10	10	20	10	10	20	10	30	10	10	10	10	10	20	20	20	20	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10
comptia a	3600	Low	31	0.500367	4.72386	2900	2900	2900	2900	2900	3600	2900	2900	2900	2400	3600	3600	3600	3600	4400	3600	3600	4400	3600	3600	3600	3600	4400	4400	4400	4400	4400	4400	4400	4400	4400	4400	3600	3600	4400	4400	4400	4400	4400	3600	3600	3600	3600	2900	2900	2400	2900	2900
computer course	74000	Low	23	0.29	1.361865	74000	74000	90500	110000	90500	90500	90500	74000	74000	60500	74000	74000	90500	110000	110000	110000	110000	90500	90500	74000	74000	74000	90500	90500	110000	110000	135000	110000	110000	90500	74000	60500	60500	60500	74000	74000	90500	90500	90500	90500	90500	74000	60500	49500	49500	49500	60500	49500
computer course certificate free download	110	Low	14	0.295124	0.86	20	30	30	20	30	20	30	30	20	10	20	30	30	20	20	40	40	40	50	40	30	30	50	30	50	30	50	50	90	110	90	70	90	140	90	110	170	170	260	140	110	90	70	90	70	70	70	70
computer courses online	14800	Medium	49	0.297248	2.763167	14800	12100	14800	14800	14800	14800	14800	12100	14800	12100	14800	14800	18100	18100	18100	18100	18100	18100	18100	14800	14800	14800	18100	18100	18100	18100	18100	18100	18100	14800	14800	14800	14800	14800	14800	12100	18100	18100	14800	14800	18100	14800	14800	12100	12100	12100	12100	12100
computer hardware engineer courses	210	Low	13	0.552832	5.27549	480	590	480	590	480	480	480	390	320	260	480	390	390	390	390	480	390	390	390	320	320	320	480	390	320	390	480	590	720	480	260	210	320	320	390	260	260	260	320	320	260	210	210	140	210	140	170	210
computer online classes	14800	Medium	49	0.297248	2.763167	14800	12100	14800	14800	14800	14800	14800	12100	14800	12100	14800	14800	18100	18100	18100	18100	18100	18100	18100	14800	14800	14800	18100	18100	18100	18100	18100	18100	18100	14800	14800	14800	14800	14800	14800	12100	18100	18100	14800	14800	18100	14800	14800	12100	12100	12100	12100	12100
computer science certificate programs	320	Medium	35	3.28	16.68	480	590	590	720	720	880	880	880	720	720	880	720	720	480	390	390	260	390	320	260	260	260	260	170	210	210	260	480	480	590	880	390	590	210	480	260	390	320	320	210	170	260	260	320	320	260	390	590
computer software course	2900	Medium	39	0.296872	2.21	5400	5400	6600	8100	8100	8100	6600	6600	5400	5400	5400	5400	5400	6600	6600	6600	6600	6600	6600	5400	5400	5400	5400	5400	5400	6600	6600	6600	5400	4400	4400	3600	3600	3600	3600	3600	4400	3600	4400	4400	3600	2400	3600	2400	1900	2400	2400	1900
computer systems engineering vs computer science	70	Low				90	90	90	90	140	210	170	170	110	110	140	110	110	90	110	110	140	170	140	110	90	90	140	140	110	70	110	110	140	170	140	110	90	70	90	90	90	70	90	70	90	90	70	50	50	40	50	50
computer technology course	1600	Low	19	0.346401	3.93	2900	4400	6600	14800	2400	2400	2400	1600	1600	1000	1900	1600	1600	1600	2400	2400	2400	2400	1600	1600	1300	1300	1900	1900	1600	1600	2400	2400	2900	2400	1600	1300	1300	1000	1900	1600	1900	1900	2900	2400	1900	1600	1600	1000	1000	880	1600	1000
construction courses unisa	110	Low	20	0.230783	0.768218	140	140	210	170	140	260	260	140	140	70	170	140	140	170	170	110	140	210	170	210	110	110	260	210	170	210	170	140	170	170	110	90	110	70	170	140	110	90	110	140	110	110	90	110	90	70	110	90
construction foreman courses	30	Medium	51	0.552086	4.19865	20	20	30	30	30	40	30	20	30	10	40	40	30	40	30	40	40	40	30	40	50	30	50	70	40	30	70	50	50	40	40	20	20	10	20	40	20	30	20	20	40	30	30	20	30	20	20	30
construction management certificate	5400	Medium	60	2.873754	10.33	3600	2900	2900	2900	2900	3600	2900	2900	2900	2900	4400	3600	4400	3600	4400	3600	3600	4400	4400	4400	4400	3600	5400	5400	4400	5400	5400	6600	6600	6600	9900	6600	4400	4400	5400	4400	5400	5400	5400	5400	5400	5400	5400	5400	4400	4400	5400	5400
construction management course	12100	Medium	47	0.73	5.56	8100	8100	9900	8100	9900	9900	9900	9900	8100	8100	12100	9900	12100	9900	12100	9900	12100	12100	12100	12100	12100	12100	14800	14800	14800	14800	14800	12100	14800	12100	12100	12100	12100	9900	14800	12100	18100	14800	12100	12100	12100	12100	9900	9900	9900	8100	12100	12100
construction management diploma online	210	Medium	48	0.884956	5.80865	140	170	170	170	210	210	170	170	210	110	210	210	210	170	170	170	170	170	260	260	170	210	260	210	260	170	260	210	210	210	170	170	140	170	260	170	210	170	170	260	170	170	170	210	210	210	260	320
construction short courses online	40	Medium	55	0.335378	1.840932	10	10	10	10	10	10	10	10	10	10	10	20	20	10	20	10	40	20	30	40	50	30	50	30	30	40	50	30	20	40	20	30	30	20	50	20	20	20	40	20	40	110	70	30	40	40	50	50
continuous improvement certification online	20	High	73	1.107257	10.318042	10	10	10	20	10	20	30	20	30	10	50	30	50	40	40	20	20	20	10	20	10	10	10	20	10	20	40	30	210	140	10	10	30	10	10	30	20	10	20	40	20	30	20	20	20	10	20	30
control engineering online course	30	Low	29	0.380114	3.707512	30	40	40	40	30	30	40	30	40	30	50	30	50	90	30	50	50	50	70	40	50	40	70	50	70	50	50	40	20	30	40	40	30	40	20	20	30	20	40	20	40	10	30	20	20	20	20	30
cornell systems thinking	30	Medium	37	3.926634	6.24	30	30	50	40	30	30	40	20	30	30	40	40	40	40	90	30	30	30	20	30	30	30	20	50	30	20	40	30	20	30	20	30	30	30	20	30	20	50	70	30	30	20	30	20	10	10	20	30
cost engineer certification	50	Low	15	0.503514	4.68	50	50	70	40	50	70	90	70	50	50	70	90	90	90	110	70	70	90	90	110	70	90	110	90	110	70	70	70	70	90	70	70	90	70	90	70	90	70	90	40	50	50	40	40	50	40	50	50
cost management courses	210	Medium	39	0.543728	3.250034	210	170	260	260	260	260	210	260	260	210	260	260	260	210	260	210	260	260	260	260	260	260	390	320	320	260	320	260	260	260	260	260	260	210	260	260	260	260	210	170	260	170	170	170	140	210	210	170
cours de gestion de projet en ligne gratuit	30	Low	31	0.04	1.327938	30	20	20	20	20	20	30	30	30	40	50	30	70	40	50	20	20	40	40	30	50	30	40	30	30	40	20	30	40	70	50	40	30	30	30	40	20	20	20	30	40	40	30	30	30	10	30	10
coursera and edx	3600	Medium	53	0.36	4.33	880	880	720	720	720	720	720	720	590	480	720	590	590	590	720	720	720	1000	1300	1300	1000	1000	1000	1000	1000	880	1300	1600	1900	1900	2400	2900	2400	2400	2400	2400	2900	2900	2900	2900	2900	3600	4400	2900	2900	6600	8100	3600
coursera certificate	18100	Low	28	0.387954	5.978572	18100	18100	22200	18100	22200	22200	22200	18100	18100	18100	22200	18100	22200	22200	22200	22200	22200	22200	22200	22200	18100	18100	22200	22200	22200	18100	22200	22200	22200	22200	22200	22200	22200	18100	22200	18100	22200	22200	22200	18100	22200	18100	18100	18100	14800	14800	14800	14800
coursera edx	3600	Medium	53	0.36	4.33	880	880	720	720	720	720	720	720	590	480	720	590	590	590	720	720	720	1000	1300	1300	1000	1000	1000	1000	1000	880	1300	1600	1900	1900	2400	2900	2400	2400	2400	2400	2900	2900	2900	2900	2900	3600	4400	2900	2900	6600	8100	3600
coursera project management	4400	Medium	59	0.551854	5.2349	3600	3600	3600	4400	4400	4400	4400	4400	4400	3600	5400	4400	4400	3600	4400	4400	4400	4400	4400	4400	4400	3600	5400	5400	4400	4400	5400	5400	6600	5400	5400	5400	4400	4400	5400	4400	5400	4400	5400	4400	5400	4400	4400	4400	3600	3600	4400	3600
coursera system design	320	Medium	47	0.197808	1.917149	260	320	320	320	390	320	320	260	260	210	210	260	210	260	260	260	260	260	260	260	260	320	390	320	320	320	320	320	390	390	390	320	320	390	390	320	320	320	320	320	320	320	320	320	320	320	320	320
coursera systems engineering	140	Medium	38	0.47	3.88	140	110	110	140	140	110	140	140	110	110	110	170	170	140	170	110	140	140	140	140	140	140	170	140	170	140	170	170	260	210	140	170	110	140	140	140	110	110	140	140	170	140	140	110	110	110	140	90
courses of marketing management	6600	Low	28	0.428246	2.260026	8100	6600	8100	9900	12100	12100	8100	6600	6600	5400	9900	8100	8100	8100	8100	8100	9900	8100	8100	6600	6600	5400	9900	8100	6600	8100	8100	9900	9900	8100	6600	5400	5400	5400	9900	6600	6600	8100	8100	8100	8100	6600	6600	4400	4400	3600	6600	4400
courses on program management	170	Medium	45	1.005869	9.543177	140	170	140	170	210	260	170	170	170	140	170	210	210	210	210	210	170	170	170	170	170	170	210	210	210	210	210	210	210	210	320	210	210	210	260	260	320	260	260	260	210	140	170	110	90	110	110	140
courses on project management	74000	Medium	66	0.786939	6.371675	74000	60500	74000	74000	74000	74000	74000	74000	74000	60500	90500	74000	90500	74000	90500	90500	90500	90500	90500	90500	90500	90500	135000	110000	90500	90500	90500	90500	90500	90500	90500	90500	74000	74000	110000	90500	110000	90500	74000	74000	74000	74000	74000	74000	60500	49500	74000	60500
courses on systems thinking	30	Medium	46	0.491905	6	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	20	20	10	10	20	20	20	20	10	10	10	10	70	40	20	30	40	20	20	30	30	20	40	40	30	20	30	30	40	50
create design system	260	Low	15	0.630238	5.417229	590	590	590	590	480	480	480	480	590	480	590	480	590	480	480	390	390	480	390	390	390	320	480	480	390	390	480	390	390	390	390	390	320	260	320	260	390	320	260	260	260	170	210	260	210	170	260	210
create project plan	1000	Low	32	2.041603	11.960241	2400	1900	1900	1600	1300	1600	1600	1600	1600	1300	1600	1600	1900	1600	1900	1600	1000	1000	1300	1300	1300	1000	1300	1600	1300	1300	1300	1000	1000	1000	1000	1000	880	720	1300	2400	2400	1900	1000	720	590	480	3600	720	480	390	590	590
critical thinking and problem solving	5400	Low	3	0.207426	2.52	5400	4400	4400	4400	4400	4400	5400	5400	5400	3600	4400	4400	5400	4400	4400	3600	4400	4400	5400	5400	4400	3600	5400	5400	4400	4400	4400	3600	4400	4400	5400	4400	4400	3600	4400	4400	4400	4400	4400	3600	5400	5400	5400	4400	4400	4400	6600	6600
critical thinking and problem solving course	90	Low	16	0.24	3.60425	90	70	70	70	70	90	90	90	90	90	90	90	110	90	70	90	90	90	110	90	70	30	70	110	90	90	70	90	140	90	170	320	110	90	110	90	140	110	110	90	70	70	50	90	90	90	110	170
critical thinking certification	90	Low	15	0.505446	5.912661	110	70	110	140	70	90	90	110	90	70	110	90	110	110	110	90	90	70	90	110	90	110	140	110	140	140	140	110	70	110	110	110	70	70	110	90	70	110	110	90	70	90	50	110	70	40	50	210
critical thinking class	2900	Medium	35	0.441615	3.6	2400	2400	2400	2400	2400	2900	2400	2400	2400	2400	2900	2400	2900	2400	2900	2400	2400	3600	2900	2900	2900	2400	3600	3600	3600	2900	4400	12100	8100	5400	18100	5400	3600	2900	5400	2900	3600	3600	3600	2900	2900	3600	2900	2900	2400	2900	3600	2400
critical thinking com	140	Low	23	0.300957	1.29	260	170	210	170	110	170	210	210	210	140	170	170	170	170	140	170	170	170	210	170	140	110	170	140	170	140	210	110	140	170	170	140	110	140	140	170	140	170	170	140	140	170	210	170	140	90	170	140
critical thinking course	2900	Medium	35	0.441615	3.6	2400	2400	2400	2400	2400	2900	2400	2400	2400	2400	2900	2400	2900	2400	2900	2400	2400	3600	2900	2900	2900	2400	3600	3600	3600	2900	4400	12100	8100	5400	18100	5400	3600	2900	5400	2900	3600	3600	3600	2900	2900	3600	2900	2900	2400	2900	3600	2400
critical thinking course free	390	Low	25	0.06026	2.28	260	210	260	260	260	260	260	260	260	210	320	260	320	260	320	320	390	320	390	320	320	390	390	480	480	480	590	480	480	480	480	1000	2400	390	1300	480	480	320	390	390	390	390	390	320	320	320	390	320
critical thinking mit	30	Medium	35	1.18	9.421082	40	90	40	50	30	40	40	40	50	30	40	40	50	30	40	40	40	50	40	50	40	70	40	40	50	40	40	40	40	40	40	30	30	20	20	30	30	20	30	30	40	40	40	30	30	30	30	20
critical thinking online course	90	Medium	44	0.555587	3.086208	170	140	170	170	140	140	110	110	70	90	90	110	110	90	110	110	110	110	140	110	90	140	110	110	110	90	140	140	90	140	90	110	110	90	110	90	90	70	90	70	110	90	90	70	90	70	70	90
critical thinking practice	480	Medium	34	0.248388	2	590	480	590	480	480	590	590	720	480	480	590	480	590	480	590	480	480	480	590	480	590	480	590	590	590	590	590	590	590	590	590	590	480	390	590	590	480	480	480	480	480	480	480	480	390	390	390	390
critical thinking short course	20	Medium	60	0.621387	3.024276	10	10	20	20	20	20	20	20	40	10	10	20	20	10	20	20	30	10	30	10	20	20	20	20	20	10	10	20	20	20	10	10	10	10	10	20	20	20	10	20	10	20	30	10	10	10	10	20
critical thinking skills	22200	Low	9	0.0738	2.88	40500	33100	33100	33100	27100	33100	40500	40500	40500	27100	40500	33100	40500	33100	40500	33100	27100	33100	33100	33100	33100	27100	33100	33100	33100	33100	33100	27100	27100	27100	33100	27100	27100	22200	27100	27100	27100	22200	22200	18100	18100	18100	27100	22200	18100	14800	18100	18100
cs50	74000	Low	14	0.32	3.373136	110000	110000	110000	165000	135000	135000	135000	135000	135000	135000	135000	110000	110000	110000	110000	110000	135000	135000	135000	135000	110000	110000	135000	110000	110000	90500	110000	110000	110000	90500	90500	90500	74000	74000	110000	90500	90500	74000	90500	90500	90500	90500	74000	74000	60500	60500	74000	60500
cs50 by harvard	33100	Low	26	0.396549	2.8	40500	40500	40500	60500	60500	49500	49500	49500	49500	40500	49500	40500	40500	40500	40500	40500	49500	49500	49500	40500	40500	33100	49500	40500	40500	33100	33100	40500	33100	33100	33100	33100	27100	27100	40500	33100	33100	27100	33100	40500	40500	40500	33100	33100	27100	33100	40500	33100
cs50 edx	8100	Low	16	0.105361	2.15	40500	22200	18100	22200	14800	14800	14800	14800	14800	12100	12100	27100	14800	14800	12100	14800	18100	27100	22200	18100	14800	14800	18100	14800	14800	12100	14800	14800	18100	14800	12100	12100	9900	9900	9900	9900	9900	8100	9900	12100	12100	9900	9900	6600	6600	6600	8100	6600
curso de dinamica de sistemas	10	Low	23			10	10	10	10	10	10	10	10	10	10	20	20	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	10	20	10	10	20	0	10	10	10	10
curso scrum	1300	High	71	0.38507	1.649374	2900	2400	2900	2400	2400	2900	2400	2400	2400	1600	2400	2400	2400	1900	2400	2400	1900	2400	2400	2400	1900	1900	2400	2400	2400	2400	1900	1900	1900	1600	1900	1900	1600	1300	1900	1600	1600	1600	1300	1300	1300	1300	1300	1000	1000	720	1000	880
decision making courses online	90	Low	21	1.807502	6.36	90	90	90	90	90	140	110	110	70	70	110	110	90	110	110	110	70	110	110	110	70	70	140	90	90	140	110	70	90	90	70	70	90	110	70	110	90	90	110	170	90	140	140	50	50	70	50	110
demand planning certification	170	Low	24	1.159908	7.645051	170	170	140	140	140	170	170	170	170	170	210	170	210	260	210	210	210	260	260	210	210	210	210	170	210	210	210	260	320	210	210	210	210	170	210	170	170	170	140	210	170	170	140	110	140	110	170	390
demonstrating problem solving skills	50	Low	1			170	140	140	170	110	170	320	260	170	140	170	140	170	140	110	140	140	110	140	140	110	110	170	110	90	110	90	90	110	90	90	90	70	50	90	90	70	90	50	40	50	50	70	50	40	50	50	50
design thinking certification stanford	40	Low	13	2.5	8.611477	70	90	90	110	110	110	90	90	90	70	90	70	90	70	70	70	50	50	50	50	50	70	40	70	50	70	50	70	210	210	90	50	70	70	70	70	50	50	50	50	40	40	50	30	20	20	20	90
design thinking ibm	1900	Low	9	0.979235	7.2	4400	3600	3600	3600	3600	3600	3600	4400	3600	2900	3600	2900	4400	3600	3600	2900	2900	2900	4400	3600	2900	2400	3600	3600	4400	3600	2900	2400	3600	3600	3600	2900	2400	1900	2400	2400	3600	2400	2400	1600	1900	2900	1900	1600	1600	1000	1300	1600
designing data intensive applications	40500	Medium	43	0.156969	3.543151	22200	18100	22200	18100	18100	22200	18100	18100	18100	18100	22200	18100	22200	18100	18100	22200	22200	22200	22200	22200	22200	22200	27100	27100	27100	27100	27100	27100	27100	27100	27100	33100	27100	27100	33100	33100	27100	27100	33100	27100	33100	33100	33100	33100	40500	49500	49500	49500
designing distributed systems	880	Medium	41	0.23	3.785414	1000	1000	1000	1000	880	1000	880	880	880	880	1000	880	880	880	880	880	880	880	880	880	880	880	880	1000	880	880	880	880	880	880	1300	1000	880	880	1000	880	1000	880	880	720	880	880	720	880	880	880	880	720
devops course	18100	Medium	63	0.428928	1.486236	12100	12100	14800	18100	22200	22200	22200	18100	18100	18100	22200	22200	22200	22200	22200	27100	27100	27100	27100	22200	22200	22200	27100	27100	27100	27100	27100	33100	33100	27100	27100	22200	22200	22200	27100	22200	22200	22200	22200	22200	22200	18100	18100	14800	14800	18100	18100	14800
digiskill	165000	Low	3	0.22	1.776648	90500	74000	110000	246000	201000	165000	165000	301000	246000	135000	201000	201000	201000	110000	165000	246000	301000	165000	165000	246000	246000	135000	135000	110000	301000	165000	165000	246000	301000	165000	135000	110000	74000	49500	60500	60500	49500	49500	60500	110000	201000	301000	165000	165000	165000	368000	201000	165000
digiskills courses	3600	Low	13	0.185174	1.742403	2900	2400	4400	8100	4400	4400	4400	6600	3600	4400	6600	6600	4400	3600	6600	9900	6600	5400	6600	6600	4400	3600	5400	5400	8100	3600	5400	8100	6600	4400	3600	3600	2900	2400	2900	2400	2400	2400	2900	3600	5400	4400	2900	2400	4400	4400	2900	3600
digiskills registration	1300	Low	4	0.179406	2	720	590	1300	3600	1600	1000	1000	3600	1000	1000	2400	4400	1300	1300	1900	5400	2400	1600	1900	5400	1300	1300	1900	1900	5400	1000	1600	5400	2900	1300	1000	1300	880	720	1000	880	590	480	720	1300	2900	1600	720	720	1900	2900	1000	1300
digital management course online	10	High	86			10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	20	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
digital project manager certification	40	Low	14	1.96	8.294368	70	70	70	50	70	50	70	70	50	50	50	70	70	90	70	70	90	50	70	50	40	50	50	50	50	50	40	50	50	50	50	50	50	50	90	90	50	50	90	40	20	40	30	20	10	20	30	110
digitaldefynd	18100	Medium	43	0.253217	2.84	165000	135000	165000	110000	110000	110000	135000	165000	165000	201000	201000	135000	90500	60500	90500	110000	90500	74000	74000	90500	49500	49500	49500	33100	40500	27100	27100	33100	40500	40500	33100	40500	27100	27100	27100	22200	18100	22200	14800	18100	22200	22200	33100	22200	14800	18100	14800	12100
dit course	2900	Low	7	0.257608	1.016723	1900	1600	2400	2400	2900	2900	2900	2400	2400	1900	2400	1900	2400	1900	2900	2900	3600	5400	2900	2900	2400	1900	2400	1900	2400	2400	3600	2900	4400	3600	3600	3600	2400	1900	2900	2400	2400	2900	3600	3600	5400	4400	3600	2400	1900	1900	2400	1900
donella h meadows thinking in systems	170	Low	30	0.16352	1.709058	50	50	50	90	50	50	70	90	90	170	90	70	70	90	90	90	70	140	90	110	110	110	110	70	70	90	90	90	90	110	90	90	110	110	210	140	110	140	140	170	140	170	110	170	260	320	260	140
dynamic models	1900	Low	1	0.114488	3.35714	4400	4400	4400	3600	2900	3600	3600	4400	4400	3600	3600	3600	4400	3600	3600	2900	2400	2400	3600	3600	3600	3600	3600	3600	3600	3600	3600	2900	2400	2400	2900	3600	2900	2400	2400	2400	2900	2900	2400	1900	1900	1600	2400	2400	2400	1600	1600	1600
e learning lms	6600	Low	9	0.711636	14	5400	3600	4400	3600	3600	4400	4400	4400	4400	2900	3600	3600	4400	4400	74000	9900	9900	9900	9900	22200	14800	14800	14800	12100	18100	18100	9900	5400	5400	6600	8100	12100	6600	8100	5400	6600	8100	6600	5400	4400	3600	4400	9900	12100	8100	6600	9900	6600
e learning lms learnership	1900	Low	17	0.394156	4.43	320	210	260	210	170	210	260	110	110	40	50	110	170	110	14800	880	2400	3600	3600	22200	3600	2900	5400	3600	1900	3600	1900	1900	2400	2900	2400	2900	2400	1300	6600	4400	3600	2900	2400	2400	1900	1900	1600	1000	1000	720	1000	1000
e learning lms register	170	Low	26	0.487539	2.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12100	880	880	1900	480	480	210	90	140	140	70	140	90	90	90	110	50	40	70	10	260	260	320	210	260	210	170	170	170	110	170	70	170	140
e learning lms registration	40	Low	15	0.317101	1.687642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2900	260	210	320	140	260	40	40	40	20	40	40	40	30	30	70	40	20	10	10	70	70	20	10	30	20	10	20	30	70	50	40	70	90
e lms	550000	Low	2	0.302122	3.209868	301000	301000	301000	246000	201000	246000	368000	450000	368000	301000	301000	301000	368000	368000	368000	301000	246000	301000	550000	550000	550000	450000	450000	450000	450000	550000	550000	368000	368000	550000	673000	673000	550000	450000	450000	550000	550000	450000	450000	368000	368000	673000	673000	550000	550000	368000	450000	550000
